year,party,average_poll
1968,democrat,34.020664
1968,republican,47.185626666666664
1972,democrat,31.236764850308646
1972,republican,59.67766241851852
1976,democrat,47.06928385551948
1976,republican,40.94843269375361
1980,democrat,37.18142759231602
1980,republican,42.06126764436304
1984,democrat,39.08604295886699
1984,republican,56.493568393551584
1988,democrat,44.7155514929798
1988,republican,50.26746292616279
1992,democrat,47.98438586217949
1992,republican,36.75309280327869
1996,democrat,50.37942451041667
1996,republican,36.5745505
2000,democrat,43.83689522142857
2000,republican,44.64951973777778
2004,democrat,46.04243531519608
2004,republican,48.913263326388886
2008,democrat,48.017295598360654
2008,republican,44.280295236363635
2012,democrat,47.9579862
2012,republican,46.562146063492065
2016,democrat,44.4283721875
2016,republican,39.95343775362319
