party,state,average_poll
democrat,Alabama,39.77823529411765
democrat,Alaska,44.345
democrat,Arizona,49.994166666666665
democrat,Arkansas,39.57411764705883
democrat,California,62.12435897435898
democrat,Colorado,56.631136363636365
democrat,Connecticut,62.234375
democrat,Delaware,63.00636363636364
democrat,District of Columbia,87.17875
democrat,Florida,48.852673267326736
democrat,Georgia,48.91971830985916
democrat,Hawaii,64.30969696969697
democrat,Idaho,39.156060606060606
democrat,Illinois,58.698181818181816
democrat,Indiana,43.881142857142855
democrat,Iowa,47.95701754385965
democrat,Kansas,45.329268292682926
democrat,Kentucky,40.64194444444445
democrat,Louisiana,40.91057142857143
democrat,Maine,55.24044444444444
democrat,Maryland,65.83945945945946
democrat,Massachusetts,68.84878787878787
democrat,Michigan,51.047551020408164
democrat,Minnesota,53.1688679245283
democrat,Mississippi,41.406363636363636
democrat,Missouri,45.34421052631579
democrat,Montana,44.1946511627907
democrat,Nebraska,45.630625
democrat,Nevada,50.97659090909091
democrat,New Hampshire,55.07857142857143
democrat,New Jersey,59.46763157894737
democrat,New Mexico,52.96257142857143
democrat,New York,64.38454545454546
democrat,North Carolina,49.6328431372549
democrat,North Dakota,38.90264705882353
democrat,Ohio,47.16842105263158
democrat,Oklahoma,39.90714285714286
democrat,Oregon,59.79794117647059
democrat,Pennsylvania,50.788
democrat,Rhode Island,67.0015625
democrat,South Carolina,45.04869565217391
democrat,South Dakota,43.21787878787879
democrat,Tennessee,41.9759375
democrat,Texas,47.298524590163936
democrat,Utah,43.85657142857143
democrat,Vermont,65.42242424242424
democrat,Virginia,54.77048780487805
democrat,Washington,60.67057142857143
democrat,West Virginia,33.88057142857143
democrat,Wisconsin,51.63827272727273
democrat,Wyoming,32.645625
republican,Alabama,57.83205882352941
republican,Alaska,52.24184210526316
republican,Arizona,45.096354166666664
republican,Arkansas,58.067058823529415
republican,California,34.71025641025641
republican,Colorado,39.87386363636364
republican,Connecticut,34.7534375
republican,Delaware,34.621212121212125
republican,District of Columbia,10.2390625
republican,Florida,46.66237623762376
republican,Georgia,46.899014084507044
republican,Hawaii,33.124242424242425
republican,Idaho,58.4969696969697
republican,Illinois,38.32272727272727
republican,Indiana,53.21628571428572
republican,Iowa,48.35666666666667
republican,Kansas,51.65243902439025
republican,Kentucky,57.18805555555556
republican,Louisiana,55.92914285714286
republican,Maine,41.27044444444444
republican,Maryland,31.156756756756756
republican,Massachusetts,28.813030303030303
republican,Michigan,43.36
republican,Minnesota,42.31433962264151
republican,Mississippi,56.877878787878785
republican,Missouri,51.99131578947368
republican,Montana,52.81116279069767
republican,Nebraska,52.098125
republican,Nevada,45.62909090909091
republican,New Hampshire,42.6097619047619
republican,New Jersey,36.02710526315789
republican,New Mexico,44.83542857142857
republican,New York,32.52757575757576
republican,North Carolina,46.03490196078431
republican,North Dakota,59.07147058823529
republican,Ohio,49.00228070175439
republican,Oklahoma,57.94228571428572
republican,Oregon,38.33764705882353
republican,Pennsylvania,44.61845454545455
republican,Rhode Island,31.72125
republican,South Carolina,51.26717391304348
republican,South Dakota,54.49181818181818
republican,Tennessee,55.93125
republican,Texas,48.57081967213115
republican,Utah,52.818285714285715
republican,Vermont,32.14666666666667
republican,Virginia,41.777073170731704
republican,Washington,36.762
republican,West Virginia,64.10457142857143
republican,Wisconsin,43.166
republican,Wyoming,65.56625
