poll_startdate,poll_enddate,approve,disapprove,unsure_NA,president,year
2020-07-01T00:00:00Z,2020-07-23T00:00:00Z,41,56,3,Donald Trump,2020
2020-07-01T00:00:00Z,2020-07-23T00:00:00Z,41,56,3,Donald Trump,2020
2020-06-08T00:00:00Z,2020-06-30T00:00:00Z,38,57,5,Donald Trump,2020
2020-06-08T00:00:00Z,2020-06-30T00:00:00Z,38,57,5,Donald Trump,2020
2020-05-28T00:00:00Z,2020-06-04T00:00:00Z,39,57,4,Donald Trump,2020
2020-05-28T00:00:00Z,2020-06-04T00:00:00Z,39,57,4,Donald Trump,2020
2020-05-01T00:00:00Z,2020-05-13T00:00:00Z,49,48,4,Donald Trump,2020
2020-05-01T00:00:00Z,2020-05-13T00:00:00Z,49,48,4,Donald Trump,2020
2020-04-14T00:00:00Z,2020-04-28T00:00:00Z,49,47,4,Donald Trump,2020
2020-04-14T00:00:00Z,2020-04-28T00:00:00Z,49,47,4,Donald Trump,2020
2020-04-01T00:00:00Z,2020-04-14T00:00:00Z,43,54,7,Donald Trump,2020
2020-04-01T00:00:00Z,2020-04-14T00:00:00Z,43,54,7,Donald Trump,2020
2020-03-13T00:00:00Z,2020-03-22T00:00:00Z,49,45,6,Donald Trump,2020
2020-03-13T00:00:00Z,2020-03-22T00:00:00Z,49,45,6,Donald Trump,2020
2020-03-02T00:00:00Z,2020-03-13T00:00:00Z,44,52,4,Donald Trump,2020
2020-03-02T00:00:00Z,2020-03-13T00:00:00Z,44,52,4,Donald Trump,2020
2020-02-17T00:00:00Z,2020-02-28T00:00:00Z,47,51,2,Donald Trump,2020
2020-02-17T00:00:00Z,2020-02-28T00:00:00Z,47,51,2,Donald Trump,2020
2020-02-03T00:00:00Z,2020-02-16T00:00:00Z,49,48,3,Donald Trump,2020
2020-02-03T00:00:00Z,2020-02-16T00:00:00Z,49,48,3,Donald Trump,2020
2020-01-16T00:00:00Z,2020-01-29T00:00:00Z,49,50,1,Donald Trump,2020
2020-01-16T00:00:00Z,2020-01-29T00:00:00Z,49,50,1,Donald Trump,2020
2020-01-02T00:00:00Z,2020-01-15T00:00:00Z,44,53,3,Donald Trump,2020
2020-01-02T00:00:00Z,2020-01-15T00:00:00Z,44,53,3,Donald Trump,2020
2019-12-02T00:00:00Z,2019-12-15T00:00:00Z,45,51,4,Donald Trump,2019
2019-12-02T00:00:00Z,2019-12-15T00:00:00Z,45,51,4,Donald Trump,2019
2019-11-01T00:00:00Z,2019-11-14T00:00:00Z,43,54,3,Donald Trump,2019
2019-11-01T00:00:00Z,2019-11-14T00:00:00Z,43,54,3,Donald Trump,2019
2019-10-14T00:00:00Z,2019-10-31T00:00:00Z,41,57,2,Donald Trump,2019
2019-10-14T00:00:00Z,2019-10-31T00:00:00Z,41,57,2,Donald Trump,2019
2019-10-01T00:00:00Z,2019-10-13T00:00:00Z,39,57,4,Donald Trump,2019
2019-10-01T00:00:00Z,2019-10-13T00:00:00Z,39,57,4,Donald Trump,2019
2019-09-16T00:00:00Z,2019-09-30T00:00:00Z,40,56,4,Donald Trump,2019
2019-09-16T00:00:00Z,2019-09-30T00:00:00Z,40,56,4,Donald Trump,2019
2019-09-03T00:00:00Z,2019-09-15T00:00:00Z,43,54,3,Donald Trump,2019
2019-09-03T00:00:00Z,2019-09-15T00:00:00Z,43,54,3,Donald Trump,2019
2019-08-15T00:00:00Z,2019-08-30T00:00:00Z,39,57,4,Donald Trump,2019
2019-08-15T00:00:00Z,2019-08-30T00:00:00Z,39,57,4,Donald Trump,2019
2019-08-01T00:00:00Z,2019-08-14T00:00:00Z,41,54,5,Donald Trump,2019
2019-08-01T00:00:00Z,2019-08-14T00:00:00Z,41,54,5,Donald Trump,2019
2019-07-15T00:00:00Z,2019-07-31T00:00:00Z,42,54,4,Donald Trump,2019
2019-07-15T00:00:00Z,2019-07-31T00:00:00Z,42,54,4,Donald Trump,2019
2019-07-01T00:00:00Z,2019-07-12T00:00:00Z,44,51,5,Donald Trump,2019
2019-07-01T00:00:00Z,2019-07-12T00:00:00Z,44,51,5,Donald Trump,2019
2019-06-19T00:00:00Z,2019-06-30T00:00:00Z,41,51,8,Donald Trump,2019
2019-06-19T00:00:00Z,2019-06-30T00:00:00Z,41,51,8,Donald Trump,2019
2019-06-03T00:00:00Z,2019-06-16T00:00:00Z,43,55,2,Donald Trump,2019
2019-06-03T00:00:00Z,2019-06-16T00:00:00Z,43,55,2,Donald Trump,2019
2019-05-15T00:00:00Z,2019-05-30T00:00:00Z,40,55,5,Donald Trump,2019
2019-05-15T00:00:00Z,2019-05-30T00:00:00Z,40,55,5,Donald Trump,2019
2019-05-01T00:00:00Z,2019-05-12T00:00:00Z,42,52,6,Donald Trump,2019
2019-05-01T00:00:00Z,2019-05-12T00:00:00Z,42,52,6,Donald Trump,2019
2019-04-17T00:00:00Z,2019-04-30T00:00:00Z,46,50,4,Donald Trump,2019
2019-04-17T00:00:00Z,2019-04-30T00:00:00Z,46,50,4,Donald Trump,2019
2019-04-01T00:00:00Z,2019-04-09T00:00:00Z,45,51,4,Donald Trump,2019
2019-04-01T00:00:00Z,2019-04-09T00:00:00Z,45,51,4,Donald Trump,2019
2019-03-01T00:00:00Z,2019-03-10T00:00:00Z,39,57,4,Donald Trump,2019
2019-03-01T00:00:00Z,2019-03-10T00:00:00Z,39,57,4,Donald Trump,2019
2019-02-12T00:00:00Z,2019-02-18T00:00:00Z,43,54,3,Donald Trump,2019
2019-02-12T00:00:00Z,2019-02-18T00:00:00Z,43,54,3,Donald Trump,2019
2019-02-01T00:00:00Z,2019-02-10T00:00:00Z,44,52,4,Donald Trump,2019
2019-02-01T00:00:00Z,2019-02-10T00:00:00Z,44,52,4,Donald Trump,2019
2019-01-21T00:00:00Z,2019-01-27T00:00:00Z,37,59,4,Donald Trump,2019
2019-01-21T00:00:00Z,2019-01-27T00:00:00Z,37,59,4,Donald Trump,2019
2019-01-02T00:00:00Z,2019-01-10T00:00:00Z,37,59,4,Donald Trump,2019
2019-01-02T00:00:00Z,2019-01-10T00:00:00Z,37,59,4,Donald Trump,2019
2018-12-17T00:00:00Z,2018-12-22T00:00:00Z,39,55,6,Donald Trump,2018
2018-12-17T00:00:00Z,2018-12-22T00:00:00Z,39,55,6,Donald Trump,2018
2018-12-10T00:00:00Z,2018-12-16T00:00:00Z,38,57,5,Donald Trump,2018
2018-12-10T00:00:00Z,2018-12-16T00:00:00Z,38,57,5,Donald Trump,2018
2018-12-03T00:00:00Z,2018-12-09T00:00:00Z,40,56,4,Donald Trump,2018
2018-12-03T00:00:00Z,2018-12-09T00:00:00Z,40,56,4,Donald Trump,2018
2018-11-26T00:00:00Z,2018-12-02T00:00:00Z,40,56,4,Donald Trump,2018
2018-11-26T00:00:00Z,2018-12-02T00:00:00Z,40,56,4,Donald Trump,2018
2018-11-19T00:00:00Z,2018-11-25T00:00:00Z,38,60,2,Donald Trump,2018
2018-11-19T00:00:00Z,2018-11-25T00:00:00Z,38,60,2,Donald Trump,2018
2018-11-12T00:00:00Z,2018-11-18T00:00:00Z,43,53,4,Donald Trump,2018
2018-11-12T00:00:00Z,2018-11-18T00:00:00Z,43,53,4,Donald Trump,2018
2018-11-05T00:00:00Z,2018-11-11T00:00:00Z,38,56,6,Donald Trump,2018
2018-11-05T00:00:00Z,2018-11-11T00:00:00Z,38,56,6,Donald Trump,2018
2018-10-29T00:00:00Z,2018-11-04T00:00:00Z,40,54,6,Donald Trump,2018
2018-10-29T00:00:00Z,2018-11-04T00:00:00Z,40,54,6,Donald Trump,2018
2018-10-22T00:00:00Z,2018-10-28T00:00:00Z,40,54,6,Donald Trump,2018
2018-10-22T00:00:00Z,2018-10-28T00:00:00Z,40,54,6,Donald Trump,2018
2018-10-15T00:00:00Z,2018-10-21T00:00:00Z,44,50,6,Donald Trump,2018
2018-10-15T00:00:00Z,2018-10-21T00:00:00Z,44,50,6,Donald Trump,2018
2018-10-08T00:00:00Z,2018-10-14T00:00:00Z,44,51,5,Donald Trump,2018
2018-10-08T00:00:00Z,2018-10-14T00:00:00Z,44,51,5,Donald Trump,2018
2018-10-01T00:00:00Z,2018-10-07T00:00:00Z,43,53,4,Donald Trump,2018
2018-10-01T00:00:00Z,2018-10-07T00:00:00Z,43,53,4,Donald Trump,2018
2018-09-24T00:00:00Z,2018-09-30T00:00:00Z,42,53,5,Donald Trump,2018
2018-09-24T00:00:00Z,2018-09-30T00:00:00Z,42,53,5,Donald Trump,2018
2018-09-17T00:00:00Z,2018-09-23T00:00:00Z,40,56,4,Donald Trump,2018
2018-09-17T00:00:00Z,2018-09-23T00:00:00Z,40,56,4,Donald Trump,2018
2018-09-10T00:00:00Z,2018-09-16T00:00:00Z,38,56,6,Donald Trump,2018
