state,electors,year
Alabama,11,2020
Alabama,11,2016
Alabama,11,2012
Alabama,10,2008
Alabama,10,2004
Alabama,9,2000
Alabama,9,1996
Alabama,9,1992
Alabama,9,1988
Alabama,9,1984
Alabama,9,1980
Alabama,9,1976
Alabama,9,1972
Alabama,9,1968
Alabama,9,1964
Alabama,9,1956
Alabama,9,1952
Alaska,3,2020
Alaska,3,2016
Alaska,3,2012
Alaska,3,2008
Alaska,3,2004
Alaska,3,2000
Alaska,3,1996
Alaska,3,1992
Alaska,3,1988
Alaska,3,1984
Alaska,3,1980
Alaska,3,1976
Alaska,3,1972
Alaska,3,1968
Alaska,3,1964
Alaska,3,1956
Alaska,3,1952
Arizona,4,2020
Arizona,4,2016
Arizona,4,2012
Arizona,5,2008
Arizona,5,2004
Arizona,6,2000
Arizona,6,1996
Arizona,6,1992
Arizona,7,1988
Arizona,7,1984
Arizona,8,1980
Arizona,8,1976
Arizona,8,1972
Arizona,10,1968
Arizona,10,1964
Arizona,11,1956
Arizona,11,1952
Arkansas,8,2020
Arkansas,8,2016
Arkansas,8,2012
Arkansas,6,2008
Arkansas,6,2004
Arkansas,6,2000
Arkansas,6,1996
Arkansas,6,1992
Arkansas,6,1988
Arkansas,6,1984
Arkansas,6,1980
Arkansas,6,1976
Arkansas,6,1972
Arkansas,6,1968
Arkansas,6,1964
Arkansas,6,1956
Arkansas,6,1952
California,32,2020
California,32,2016
California,32,2012
California,40,2008
California,40,2004
California,45,2000
California,45,1996
California,45,1992
California,47,1988
California,47,1984
California,54,1980
California,54,1976
California,54,1972
California,55,1968
California,55,1964
California,55,1956
California,55,1952
Colorado,6,2020
Colorado,6,2016
Colorado,6,2012
Colorado,6,2008
Colorado,6,2004
Colorado,7,2000
Colorado,7,1996
Colorado,7,1992
Colorado,8,1988
Colorado,8,1984
Colorado,8,1980
Colorado,8,1976
Colorado,8,1972
Colorado,9,1968
Colorado,9,1964
Colorado,9,1956
Colorado,9,1952
Connecticut,8,2020
Connecticut,8,2016
Connecticut,8,2012
Connecticut,8,2008
Connecticut,8,2004
Connecticut,8,2000
Connecticut,8,1996
Connecticut,8,1992
Connecticut,8,1988
Connecticut,8,1984
Connecticut,8,1980
Connecticut,8,1976
Connecticut,8,1972
Connecticut,7,1968
Connecticut,7,1964
Connecticut,7,1956
Connecticut,7,1952
D.C.,,2020
D.C.,,2016
D.C.,,2012
D.C.,3,2008
D.C.,3,2004
D.C.,3,2000
D.C.,3,1996
D.C.,3,1992
D.C.,3,1988
D.C.,3,1984
D.C.,3,1980
D.C.,3,1976
D.C.,3,1972
D.C.,3,1968
D.C.,3,1964
D.C.,3,1956
D.C.,3,1952
Delaware,3,2020
Delaware,3,2016
Delaware,3,2012
Delaware,3,2008
Delaware,3,2004
Delaware,3,2000
Delaware,3,1996
Delaware,3,1992
Delaware,3,1988
Delaware,3,1984
Delaware,3,1980
Delaware,3,1976
Delaware,3,1972
Delaware,3,1968
Delaware,3,1964
Delaware,3,1956
Delaware,3,1952
Florida,10,2020
Florida,10,2016
Florida,10,2012
Florida,14,2008
Florida,14,2004
Florida,17,2000
Florida,17,1996
Florida,17,1992
Florida,21,1988
Florida,21,1984
Florida,25,1980
Florida,25,1976
Florida,25,1972
Florida,27,1968
Florida,27,1964
Florida,29,1956
Florida,29,1952
Georgia,12,2020
Georgia,12,2016
Georgia,12,2012
Georgia,12,2008
Georgia,12,2004
Georgia,12,2000
Georgia,12,1996
Georgia,12,1992
Georgia,12,1988
Georgia,12,1984
Georgia,13,1980
Georgia,13,1976
Georgia,13,1972
Georgia,15,1968
Georgia,15,1964
Georgia,16,1956
Georgia,16,1952
Hawaii,3,2020
Hawaii,3,2016
Hawaii,3,2012
Hawaii,4,2008
Hawaii,4,2004
Hawaii,4,2000
Hawaii,4,1996
Hawaii,4,1992
Hawaii,4,1988
Hawaii,4,1984
Hawaii,4,1980
Hawaii,4,1976
Hawaii,4,1972
Hawaii,4,1968
Hawaii,4,1964
Hawaii,4,1956
Hawaii,4,1952
Idaho,4,2020
Idaho,4,2016
Idaho,4,2012
Idaho,4,2008
Idaho,4,2004
Idaho,4,2000
Idaho,4,1996
Idaho,4,1992
Idaho,4,1988
Idaho,4,1984
Idaho,4,1980
Idaho,4,1976
Idaho,4,1972
Idaho,4,1968
Idaho,4,1964
Idaho,4,1956
Idaho,4,1952
Illinois,27,2020
Illinois,27,2016
Illinois,27,2012
Illinois,26,2008
Illinois,26,2004
Illinois,26,2000
Illinois,26,1996
Illinois,26,1992
Illinois,24,1988
Illinois,24,1984
Illinois,22,1980
Illinois,22,1976
Illinois,22,1972
Illinois,21,1968
Illinois,21,1964
Illinois,20,1956
Illinois,20,1952
Indiana,13,2020
Indiana,13,2016
Indiana,13,2012
Indiana,13,2008
Indiana,13,2004
Indiana,13,2000
Indiana,13,1996
Indiana,13,1992
Indiana,12,1988
Indiana,12,1984
Indiana,12,1980
Indiana,12,1976
Indiana,12,1972
Indiana,11,1968
Indiana,11,1964
