president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,10/30/2020,1/20/2017,1/22/2017,Morning Consult,B/C,1992,rv,.6800286,0,46,37,45.447003,38.219806,"","",http://static.politico.com/9b/13/82a3baf542ae9018e5b6e1008379/170103-topline-politico-v3-kd.pdf,49249,77261,1/23/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/20/2017,1/22/2017,Gallup,B,1500,a,.26232298,0,45,45,45.730184,43.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/21/2017,1/23/2017,Gallup,B,1500,a,.24284463,0,45,46,45.730184,44.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/20/2017,1/24/2017,Ipsos,B-,1632,a,.15348115,0,42.1,45.2,43.27616,43.867619,"",T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.20041139,0,57,43,51.590449,44.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/22/2017,1/24/2017,Gallup,B,1500,a,.22737954,0,46,45,46.730184,43.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/20/2017,1/25/2017,Quinnipiac University,B+,1190,rv,1.5141716,0,36,44,37.649767,42.767926,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/21/2017,1/25/2017,Ipsos,B-,1651,a,.14153097,0,42.3,45.8,43.47616,44.467619,"",T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.18584478,0,59,41,53.590449,42.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,1.1162936,0,44,44,43.566585,44.224714,"","",http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/23/2017,1/25/2017,YouGov,B,2692,a,1.0470774,0,41,35,41.925418,36.83552,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/23/2017,1/25/2017,Gallup,B,1500,a,.21487688,0,46,45,46.730184,43.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/22/2017,1/26/2017,Ipsos,B-,1678,a,.13288235,0,42.6,46.4,43.77616,45.067619,"",T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/24/2017,1/26/2017,Gallup,B,1500,a,.20464698,0,45,48,45.730184,46.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1738549,0,55,45,49.590449,46.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/23/2017,1/27/2017,Ipsos,B-,1712,a,.12656131,0,44.5,45.5,45.67616,44.167619,"",T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/25/2017,1/27/2017,Gallup,B,1500,a,.19621853,0,42,50,42.730184,48.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/24/2017,1/28/2017,Ipsos,B-,1684,a,.117172,0,45.4,46,46.57616,44.667619,"",T,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/26/2017,1/28/2017,Morning Consult,B/C,1991,rv,.56009815,0,49,41,48.447003,42.219806,"","",https://www.politico.com/f/?id=00000159-f6e7-da98-a77d-f6f7cba90001,49241,77253,1/29/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0940142,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/26/2017,1/28/2017,Gallup,B,1500,a,.18925993,0,42,51,42.730184,49.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/25/2017,1/29/2017,Ipsos,B-,1630,a,.10749676,0,48.2,45.1,49.37616,43.767619,"",T,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/26/2017,1/30/2017,Ipsos,B-,2204,a,.13855465,0,46.8,45.8,47.97616,44.467619,"",T,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2686413,0,51,49,45.590449,50.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/27/2017,1/29/2017,Gallup,B,1500,a,.18353335,0,43,50,43.730184,48.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/26/2017,1/30/2017,SurveyMonkey,D-,4444,a,.19705636,0,48,50,45.537165,49.278178,"","",https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/27/2017,1/31/2017,Ipsos,B-,3153,a,.19028848,0,45.3,46.9,46.47616,45.567619,"",T,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/28/2017,1/30/2017,Gallup,B,1500,a,.17886687,0,43,51,43.730184,49.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/28/2017,2/1/2017,Ipsos,B-,3141,a,.18375236,0,45,47.9,46.17616,46.567619,"",T,http://polling.reuters.com/#poll/CP3_2/,49418,77591,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/27/2017,2/2/2017,IBD/TIPP,A/B,885,a,1.6009492,0,42,48,43.588446,47.50878,"","",http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.13999488,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49250,77262,2/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/28/2017,1/31/2017,YouGov,B,1500,a,.39853944,0,43,44,43.925418,45.83552,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/29/2017,1/31/2017,Gallup,B,1500,a,.17513695,0,43,52,43.730184,50.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/30/2017,2/1/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.13679511,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49258,77270,2/2/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/29/2017,2/2/2017,Ipsos,B-,3154,a,.18048709,0,45.3,47.4,46.47616,46.067619,"",T,http://polling.reuters.com/#poll/CP3_2/,49417,77590,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/30/2017,2/1/2017,Gallup,B,1500,a,.1722575,0,43,52,43.730184,50.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/30/2017,1/31/2017,Public Policy Polling,B,725,rv,.74840912,0,47,49,46.566585,49.224714,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,77250,2/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/31/2017,2/2/2017,CNN/Opinion Research Corp.,B+,1002,a,1.5435987,0,44,53,43.703513,51.503521,"","",http://i2.cdn.turner.com/cnn/2017/images/02/03/rel2a.-.trump.pdf,49264,77276,2/3/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/30/2017,2/3/2017,Ipsos,B-,3368,a,.19015917,0,44.9,47.7,46.07616,46.367619,"",T,http://polling.reuters.com/#poll/CP3_2/,49416,77589,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/31/2017,2/2/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.13405959,0,54,46,48.590449,47.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49263,77275,2/3/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/31/2017,2/2/2017,Gallup,B,1500,a,.17017311,0,43,52,43.730184,50.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/1/2017,2/3/2017,Gallup,B,1500,a,.16833145,0,44,50,44.730184,48.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/1/2017,2/2/2017,CBS News,A,1019,a,1.7591957,0,40,48,41.329984,47.439691,"","",http://www.cbsnews.com/news/americans-sharply-divided-along-partisan-lines-over-travel-ban-trump-cbs-news-poll/?ftag=CNM-00-10aab7e&linkId=34085362,49252,77264,2/3/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/30/2017,2/5/2017,SurveyMonkey,D-,9219,a,.27044597,0,46,52,43.537165,51.278178,"","",https://blog.electiontracking.surveymonkey.com/2017/02/06/trump-approval-january-30-february-5/,49272,77286,2/6/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,1/31/2017,2/4/2017,Ipsos,B-,2774,a,.1559746,0,45.2,47.7,46.37616,46.367619,"",T,http://polling.reuters.com/#poll/CP3_2/,49415,77588,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/4/2017,Morning Consult,B/C,2123,a,.57481602,0,48,43,47.447003,44.219806,"","",https://morningconsult.com/wp-content/uploads/2017/06/170105_topline_Brands_v3_AG.pdf,49275,92571,1/9/2019,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/4/2017,YouGov,B,1000,a,.21193264,0,43,47,43.925418,48.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67121,125429,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/1/2017,2/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.07849348,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49256,77268,2/6/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/4/2017,Zogby Analytics,C+,860,lv,.93813536,0,47,43,43.783663,44.887518,"","",https://www.zogbyanalytics.com/news/768-voters-agree-with-president-trump-s-executive-orders-president-s-approval-rating-up,49270,77284,2/5/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/4/2017,Gallup,B,1500,a,.16670903,0,42,53,42.730184,51.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/1/2017,2/5/2017,Ipsos,B-,1849,a,.10400072,0,47.5,46.8,48.67616,45.467619,"",T,http://polling.reuters.com/#poll/CP3_2/,49414,77587,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/6/2017,Quinnipiac University,B+,1155,rv,1.375772,0,42,51,43.649767,49.767926,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2427,49276,77290,2/7/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/3/2017,2/5/2017,YouGov,B,1000,a,.20012415,0,43,46,43.925418,47.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67122,125430,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.23160341,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49271,77285,2/7/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/3/2017,2/5/2017,Gallup,B,1500,a,.16528638,0,42,52,42.730184,50.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/6/2017,McLaughlin & Associates,C/D,1000,lv,.68696501,0,48,48,44.21476,49.497571,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79636,11/16/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/2/2017,2/6/2017,Ipsos,B-,1869,a,.10536678,0,47.1,47.5,48.27616,46.167619,"",T,http://polling.reuters.com/#poll/CP3_2/,49413,77586,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/4/2017,2/6/2017,YouGov,B,1000,a,.18830082,0,41,48,41.925418,49.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67123,125431,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/4/2017,2/6/2017,Gallup,B,1500,a,.16404735,0,42,54,42.730184,52.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/3/2017,2/7/2017,Ipsos,B-,1900,a,.10744172,0,47.5,47.6,48.67616,46.267619,"",T,http://polling.reuters.com/#poll/CP3_2/,49412,77585,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/5/2017,2/7/2017,YouGov,B,1500,a,.26819638,0,41,48,41.925418,49.83552,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/5/2017,2/6/2017,Emerson College,A-,617,rv,1.1289502,0,48.1,47.2,46.754812,50.036031,"","",http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,77307,2/7/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/5/2017,2/7/2017,YouGov,B,1000,a,.17879759,0,40,48,40.925418,49.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67512,126304,7/17/2020,19:37:32 30 Oct 2020
