"year","party","candidate_name","poll_date","weeks_left","days_left","before_convention","avg_support"
1968,"democrat","Hubert Humphrey, Jr.",1968-04-09,30,210,TRUE,35.15829
1968,"democrat","Hubert Humphrey, Jr.",1968-05-07,26,182,TRUE,36.24287
1968,"democrat","Hubert Humphrey, Jr.",1968-05-28,23,161,TRUE,40.54136
1968,"democrat","Hubert Humphrey, Jr.",1968-06-18,20,140,TRUE,41.74232
1968,"democrat","Hubert Humphrey, Jr.",1968-07-01,18,127,TRUE,40.93461
1968,"democrat","Hubert Humphrey, Jr.",1968-07-23,15,105,TRUE,39.54803
1968,"democrat","Hubert Humphrey, Jr.",1968-08-12,12,85,TRUE,34.05531
1968,"democrat","Hubert Humphrey, Jr.",1968-09-06,9,60,FALSE,33.45343
1968,"democrat","Hubert Humphrey, Jr.",1968-09-24,6,42,FALSE,32.06116
1968,"democrat","Hubert Humphrey, Jr.",1968-10-01,5,35,FALSE,31.86193
1968,"democrat","Hubert Humphrey, Jr.",1968-10-22,2,14,FALSE,33.66005
1968,"democrat","Hubert Humphrey, Jr.",1968-11-02,0,3,FALSE,39.06675
1968,"republican","Richard M. Nixon",1968-04-09,30,210,TRUE,47.40974
1968,"republican","Richard M. Nixon",1968-05-07,26,182,TRUE,45.22699
1968,"republican","Richard M. Nixon",1968-05-28,23,161,TRUE,41.9394
1968,"republican","Richard M. Nixon",1968-06-18,20,140,TRUE,42.11079
1968,"republican","Richard M. Nixon",1968-07-01,18,127,TRUE,41.10148
1968,"republican","Richard M. Nixon",1968-07-23,15,105,TRUE,43.3008
1968,"republican","Richard M. Nixon",1968-08-12,12,85,FALSE,46.88525
1968,"republican","Richard M. Nixon",1968-09-06,9,60,FALSE,46.88179
1968,"republican","Richard M. Nixon",1968-09-24,6,42,FALSE,46.91171
1968,"republican","Richard M. Nixon",1968-10-01,5,35,FALSE,47.17408
1968,"republican","Richard M. Nixon",1968-10-22,2,14,FALSE,47.54012
1968,"republican","Richard M. Nixon",1968-11-02,0,3,FALSE,47.72081
1972,"democrat","George S. McGovern",1972-03-07,35,245,TRUE,32
1972,"democrat","George S. McGovern",1972-04-07,31,214,TRUE,33.06337
1972,"democrat","George S. McGovern",1972-05-01,27,190,TRUE,36.37833
1972,"democrat","George S. McGovern",1972-05-10,26,181,TRUE,38.77167
1972,"democrat","George S. McGovern",1972-05-29,23,162,TRUE,35.91431
1972,"democrat","George S. McGovern",1972-06-12,21,148,TRUE,36.94213
1972,"democrat","George S. McGovern",1972-06-19,20,141,TRUE,37.1908
1972,"democrat","George S. McGovern",1972-07-06,18,124,TRUE,36.16322
1972,"democrat","George S. McGovern",1972-07-17,16,113,FALSE,36.51277
1972,"democrat","George S. McGovern",1972-07-26,15,104,FALSE,39.09926
1972,"democrat","George S. McGovern",1972-08-03,14,96,FALSE,35.6276366666667
1972,"democrat","George S. McGovern",1972-08-12,12,87,FALSE,32.2136133333333
1972,"democrat","George S. McGovern",1972-08-24,11,75,FALSE,27.36038
1972,"democrat","George S. McGovern",1972-08-27,10,72,FALSE,28.64448
1972,"democrat","George S. McGovern",1972-09-01,10,67,FALSE,29.04683
1972,"democrat","George S. McGovern",1972-09-12,8,56,FALSE,28.15784
1972,"democrat","George S. McGovern",1972-09-16,7,52,FALSE,29.10125
1972,"democrat","George S. McGovern",1972-09-21,7,47,FALSE,26.30798
1972,"democrat","George S. McGovern",1972-09-25,6,43,FALSE,27.863058
1972,"democrat","George S. McGovern",1972-10-05,5,33,FALSE,29.67064
1972,"democrat","George S. McGovern",1972-10-10,4,28,FALSE,30.02094375
1972,"democrat","George S. McGovern",1972-10-18,3,20,FALSE,31.84777
1972,"democrat","George S. McGovern",1972-10-19,3,19,FALSE,32.23738
1972,"democrat","George S. McGovern",1972-10-24,2,14,FALSE,32.50386
1972,"democrat","George S. McGovern",1972-10-26,2,12,FALSE,32.3338455555556
1972,"democrat","George S. McGovern",1972-11-04,0,3,FALSE,33.71223
