"year","state","party","candidate_name","poll_date","weeks_left","days_left","before_convention","avg_poll"
1972,"California","democrat","George S. McGovern",1972-08-06,13,93,FALSE,41.7005108695652
1972,"California","democrat","George S. McGovern",1972-09-21,7,47,FALSE,39.9029922222222
1972,"California","democrat","George S. McGovern",1972-09-30,5,38,FALSE,38.924634
1972,"California","democrat","George S. McGovern",1972-10-05,5,33,FALSE,39.1879233333333
1972,"California","democrat","George S. McGovern",1972-10-11,4,27,FALSE,37.7339454545455
1972,"California","democrat","George S. McGovern",1972-10-22,2,16,FALSE,38.4312558333333
1972,"California","democrat","George S. McGovern",1972-11-03,1,4,FALSE,35.4154671428571
1972,"California","republican","Richard M. Nixon",1972-08-06,13,93,TRUE,50.3284391304348
1972,"California","republican","Richard M. Nixon",1972-09-21,7,47,FALSE,47.4216644444444
1972,"California","republican","Richard M. Nixon",1972-09-30,5,38,FALSE,45.919916
1972,"California","republican","Richard M. Nixon",1972-10-05,5,33,FALSE,47.9072566666667
1972,"California","republican","Richard M. Nixon",1972-10-11,4,27,FALSE,48.1765836363636
1972,"California","republican","Richard M. Nixon",1972-10-22,2,16,FALSE,50.7290216666667
1972,"California","republican","Richard M. Nixon",1972-11-03,1,4,FALSE,47.3147528571429
1972,"Colorado","democrat","George S. McGovern",1972-11-04,0,3,FALSE,27.3064
1972,"Colorado","republican","Richard M. Nixon",1972-11-04,0,3,FALSE,63.63466
1972,"Connecticut","democrat","George S. McGovern",1972-09-30,5,38,FALSE,22.99332
1972,"Connecticut","democrat","George S. McGovern",1972-10-10,4,28,FALSE,26.0618435714286
1972,"Connecticut","democrat","George S. McGovern",1972-10-24,2,14,FALSE,28.1988982352941
1972,"Connecticut","republican","Richard M. Nixon",1972-09-30,5,38,FALSE,59.004949
1972,"Connecticut","republican","Richard M. Nixon",1972-10-10,4,28,FALSE,59.788615
1972,"Connecticut","republican","Richard M. Nixon",1972-10-24,2,14,FALSE,57.3041870588235
1972,"Illinois","democrat","George S. McGovern",1972-09-30,5,38,FALSE,24.291888
1972,"Illinois","democrat","George S. McGovern",1972-10-05,5,33,FALSE,26.66863
1972,"Illinois","democrat","George S. McGovern",1972-10-10,4,28,FALSE,25.8363183333333
1972,"Illinois","democrat","George S. McGovern",1972-10-22,2,16,FALSE,30.1812936842105
1972,"Illinois","republican","Richard M. Nixon",1972-09-30,5,38,FALSE,60.64713
1972,"Illinois","republican","Richard M. Nixon",1972-10-05,5,33,FALSE,58.328932
1972,"Illinois","republican","Richard M. Nixon",1972-10-10,4,28,FALSE,59.18434
1972,"Illinois","republican","Richard M. Nixon",1972-10-22,2,16,FALSE,60.2001784210526
1972,"Kansas","democrat","George S. McGovern",1972-07-22,15,108,FALSE,21.2731216504854
1972,"Kansas","democrat","George S. McGovern",1972-11-02,1,5,FALSE,22.46682375
1972,"Kansas","republican","Richard M. Nixon",1972-07-22,15,108,TRUE,59.6562223300971
1972,"Kansas","republican","Richard M. Nixon",1972-11-02,1,5,FALSE,66.6987325
1972,"Kentucky","democrat","George S. McGovern",1972-10-16,3,22,FALSE,32.310348
1972,"Kentucky","republican","Richard M. Nixon",1972-10-16,3,22,FALSE,48.6880312
1972,"Massachusetts","democrat","George S. McGovern",1972-10-16,3,22,FALSE,44.3300373684211
1972,"Massachusetts","democrat","George S. McGovern",1972-11-04,0,3,FALSE,47.03973
1972,"Massachusetts","republican","Richard M. Nixon",1972-10-16,3,22,FALSE,48.6954842105263
1972,"Massachusetts","republican","Richard M. Nixon",1972-11-04,0,3,FALSE,43.81844
1972,"Michigan","democrat","George S. McGovern",1972-08-16,12,83,FALSE,29.05268
1972,"Michigan","democrat","George S. McGovern",1972-09-01,10,67,FALSE,35.38447
1972,"Michigan","democrat","George S. McGovern",1972-10-05,5,33,FALSE,36.713102
1972,"Michigan","democrat","George S. McGovern",1972-10-10,4,28,FALSE,32.9309516666667
1972,"Michigan","democrat","George S. McGovern",1972-10-16,3,22,FALSE,33.5951416666667
1972,"Michigan","democrat","George S. McGovern",1972-10-22,2,16,FALSE,34.33099
1972,"Michigan","democrat","George S. McGovern",1972-11-04,0,3,FALSE,40.82501
1972,"Michigan","republican","Richard M. Nixon",1972-08-16,12,83,TRUE,60.13104
1972,"Michigan","republican","Richard M. Nixon",1972-09-01,10,67,FALSE,55.7871461764706
