state,year,total,D,R,R_pv2p,D_pv2p
Alabama,1976,1182850,659170,504070,43.33327602214504,56.66672397785496
Alabama,1980,1341929,636730,654192,50.67633830703947,49.323661692960535
Alabama,1984,1441713,551899,872849,61.26339535131827,38.736604648681734
Alabama,1988,1378476,549506,815576,59.74556839808891,40.254431601911094
Alabama,1992,1688060,690080,804283,53.82112645990298,46.178873540097015
Alabama,1996,1534349,662165,769044,53.73387115368894,46.266128846311055
Alabama,2000,1666272,692611,941173,57.60694192133109,42.39305807866891
Alabama,2004,1883415,693933,1176394,62.89777135228225,37.10222864771775
Alabama,2008,2099819,813479,1266546,60.890902753572675,39.109097246427325
Alabama,2012,2074338,795696,1255925,61.216228533437715,38.78377146656229
Alabama,2016,2123372,729547,1318255,64.37414359396074,35.62585640603926
Alaska,1976,123574,44058,71555,61.891828773580826,38.108171226419174
Alaska,1980,158445,41842,86112,67.29918564484112,32.70081435515888
Alaska,1984,207605,62007,138377,69.05591264771638,30.944087352283617
Alaska,1988,200116,72584,119251,62.16331743425339,37.83668256574661
Alaska,1992,258506,78294,102000,56.57426203867018,43.42573796132983
Alaska,1996,241620,80380,122746,60.42850250583381,39.57149749416618
Alaska,2000,285560,79004,167398,67.93694856372919,32.06305143627081
Alaska,2004,312598,111025,190889,63.22628298124632,36.77371701875368
Alaska,2008,326197,123594,193841,61.064784916597105,38.9352150834029
Alaska,2012,300495,122640,164676,57.315290481560375,42.684709518439625
Alaska,2016,318608,116454,163387,58.38565471106807,41.61434528893193
Arizona,1976,742719,295602,418642,58.61330301689619,41.38669698310382
Arizona,1980,873945,246843,529688,68.21208683233509,31.78791316766491
Arizona,1984,1025897,333854,681416,67.116727570006,32.883272429993994
Arizona,1988,1171873,454029,702541,60.7434915309925,39.25650846900749
Arizona,1992,1486975,543050,572086,51.30190398301194,48.69809601698806
Arizona,1996,1404405,653288,622073,48.77622884814574,51.22377115185426
Arizona,2000,1532016,685341,781652,53.28259916713986,46.71740083286014
Arizona,2004,2012585,893524,1104294,55.275005030488266,44.72499496951174
Arizona,2008,2293475,1034707,1230111,54.31390071961633,45.68609928038368
Arizona,2012,2299254,1025232,1233654,54.61338022370319,45.38661977629681
Arizona,2016,2573165,1161167,1252401,51.89002340103946,48.10997659896054
Arkansas,1976,767535,498604,267903,34.951148521800846,65.04885147819915
Arkansas,1980,837582,398041,403164,50.31970594292348,49.68029405707653
Arkansas,1984,884406,338646,534774,61.227588101944086,38.77241189805592
Arkansas,1988,827738,349237,466578,57.19164271311511,42.8083572868849
Arkansas,1992,950653,505823,337324,40.007732933877485,59.992267066122515
Arkansas,1996,884262,475171,325416,40.64717513524451,59.35282486475548
Arkansas,2000,921781,422768,472940,52.80068951042081,47.19931048957919
Arkansas,2004,1054945,469953,572898,54.93574825166778,45.06425174833222
Arkansas,2008,1086617,422310,638017,60.17172061071726,39.82827938928274
Arkansas,2012,1069468,394409,647744,62.15440535122961,37.84559464877038
Arkansas,2016,1130635,380494,684872,64.28513768977047,35.714862310229535
California,1976,7803770,3742284,3882244,50.91782730681821,49.082172693181796
California,1980,8582938,3082943,4522994,59.46662455920947,40.53337544079053
California,1984,9505041,3922519,5467009,58.22453482219766,41.77546517780233
California,1988,9887065,4702233,5054917,51.80731053637588,48.19268946362411
California,1992,11131721,5121325,3630574,41.48327123062092,58.51672876937908
California,1996,10019469,5119835,3828381,42.78373476903106,57.21626523096894
California,2000,10965822,5861203,4567429,43.79701000092822,56.20298999907178
California,2004,12421353,6745485,5509826,44.958679547177546,55.041320452822454
California,2008,13561900,8274473,5011781,37.721550408414586,62.27844959158541
California,2012,13038547,7854285,4839958,38.12718883670338,61.872811163296625
California,2016,14181595,8753788,4483810,33.871779457270115,66.12822054272989
Colorado,1976,1081440,460801,584278,55.907543831614646,44.09245616838536
Colorado,1980,1184450,368009,652264,63.9303402128646,36.06965978713541
Colorado,1984,1295380,454975,821817,64.3657698356506,35.634230164349404
Colorado,1988,1372394,621453,728177,53.95382438149715,46.04617561850285
Colorado,1992,1569180,629681,562850,47.19793447717502,52.80206552282498
Colorado,1996,1510702,671152,691848,50.75920763022744,49.240792369772564
Colorado,2000,1741368,738227,883748,54.48591994327903,45.51408005672097
Colorado,2004,2129630,1001732,1101255,52.36622955824264,47.63377044175737
Colorado,2008,2401361,1288576,1073589,45.44936530682658,54.55063469317343
Colorado,2012,2569516,1323101,1185243,47.252011685797484,52.74798831420252
Colorado,2016,2780220,1338870,1202484,47.316666627317566,52.68333337268244
Connecticut,1976,1386355,647895,719261,52.61001670621348,47.38998329378652
Connecticut,1980,1406285,541732,677210,55.55719632271264,44.44280367728735
Connecticut,1984,1466900,569597,890877,60.999168763018034,39.000831236981966
Connecticut,1988,1443394,676584,750241,52.581150456432994,47.418849543567006
Connecticut,1992,1616156,682318,578313,45.87488329257332,54.12511670742668
Connecticut,1996,1392614,735740,483109,39.63649311768726,60.363506882312734
Connecticut,2000,1459525,816015,561094,40.74434195114548,59.25565804885452
Connecticut,2004,1578769,857488,693826,44.725052439415876,55.27494756058412
Connecticut,2008,1646792,997772,629428,38.68166175024582,61.31833824975418
Connecticut,2012,1558204,905083,634892,41.227422523092905,58.772577476907095
Connecticut,2016,1644920,897572,673215,42.85845248273636,57.14154751726363
Delaware,1976,235642,122461,109780,47.2698619106876,52.7301380893124
